"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"06389",0.8,0,0,1,13,15
"06401",1.1928471248246844,1,0,2,1051,1426
"06403",1.1347150259067358,1,0,2,282,386
"06404",0.3333333333333333,0,0,1,9,9
"06405",0.6931407942238267,0,0,1,2487,2770
"06408",1.8571428571428572,1,0,4,4,7
"06409",0.9552238805970149,1,0,1,56,67
"06410",1.0078277886497065,1,0,1,2565,3066
"06411",0.9285714285714286,1,0,1,13,14
"06412",1.033003300330033,1,0,1,237,303
"06413",0.8690330477356181,1,0,1,693,817
"06414",1.1428571428571428,1,0,1,21,28
"06415",1.010597302504817,1,0,1,879,1038
"06416",1.2258469259723965,1,0,1,612,797
"06417",1.1514084507042253,1,0,1,223,284
"06418",1.1157894736842104,1,0,2,696,950
"06419",0.8534883720930233,1,0,1,357,430
"06420",1.0758293838862558,1,0,1,170,211
"06422",0.9444444444444444,1,0,1,377,450
"06423",1.167832167832168,1,0,1,225,286
"06424",1.1935483870967742,1,0,1,545,713
"06426",1.0521472392638036,1,0,1,270,326
"06429",0,0,0,0,1,1
"06430",1.4166666666666667,1,0,2,8,12
"06431",0,0,0,0,2,2
"06432",0.2727272727272727,0,0,1,11,11
"06433",1,1,1,1,1,1
"06435",0,0,0,0,3,3
"06437",0.7931034482758621,0,0,1,1584,1827
"06438",0.9560439560439561,1,0,1,153,182
"06439",0.3157894736842105,0,0,1,19,19
"06440",1.75,1,0,1,7,8
"06441",1.05,1,0,1,282,340
"06442",1.029126213592233,1,0,1,162,206
"06443",0.9015047879616963,0,0,1,1224,1462
"06444",1.0952380952380953,1,0,1,17,21
"06447",1.1392111368909512,1,0,1,358,431
"06448",0,0,0,0,1,1
"06450",0.9771573604060914,1,0,1,2307,2758
"06451",1.028290282902829,1,0,1,1354,1626
"06454",0.5,0,0,1,2,2
"06455",0.91005291005291,1,0,1,156,189
"06456",0.8529411764705882,0,0,1,30,34
"06457",1.0441290322580645,1,0,1,3116,3875
"06459",2.142857142857143,1,1,5,4,7
"06460",0.783607487237663,0,0,1,3052,3526
"06461",0.8664383561643836,0,0,1,742,876
"06466",2,2,2,2,0,1
"06467",1,1,0,2,12,18
"06468",1.0600500417014178,1,0,1,932,1199
"06469",1.0927152317880795,1,0,1,122,151
"06470",1.0162162162162163,1,1,1,1820,2035
"06471",0.6136783733826248,0,0,1,485,541
